id,question,type,options,section,subsection
1,"How would you describe your current career stage?",select-one,"[['In a two-year or four-year undergraduate degree program working on a degree on which I intend to build my career', 0], ['In a graduate program which I am hoping to leverage into a more fulfilling position in a field related to my undergraduate degree', 1], ['In a graduate program which I am hoping to leverage into a position in a different field from my undergraduate degree', 2], ['I have started my career and I’m planning to continue in the same career with progressing levels of responsibility and earnings', 3], ['I have started my career and I’m planning to change careers', 4], ['I have enjoyed a full career and now I am choosing to spend more of my days doing other things besides work for a living', 5]]",None,None
2,"If you are currently employed, please select the option that best describes the size of your organization.",select-one,"[['I am self-employed in an organization of one', 0], ['Less than 10 employees', 1], ['10 - 50 employees', 2], ['51 - 100 employees', 3], ['101 - 500 employees', 4], ['501 - 1000 employees', 5], ['More than 1000 employees', 6], ['Not Applicable - I am a student', 7]]",None,None
3,"Please select the option that includes your age below",select-one,"[['Less than 18', 0], ['18 - 24', 1], ['25 - 30', 2], ['31 - 35', 3], ['36 - 40', 4], ['41 - 50', 5], ['51 - 60', 6], ['Greater than 60', 7]]",None,None
4,"What is your current occupation or occupation of interest?",select-one,"[['Accountant', 0], ['Adviser (Finance)', 0], ['Analyst (Finance)', 0], ['Analyst (IT)', 0], ['Cashier', 0], ['Auditor', 0], ['Customer Service Representative', 0], ['Engineer (Industrial, Mechanical, Electrical, Civil, Aerospace)', 0], ['Engineer (Other)', 0], ['Executive Administrative Assistant', 0], ['Family and General Practitioner', 0], ['Heavy Equipment Operator', 0], ['Insurance Sales Agent', 0], ['Manager (Administrative Services)', 0], ['Manager (Finance)', 0], ['Manager (General)', 0], ['Manager (IT)', 0], ['Manager (Medical / Health Service)', 0], ['Management Consultant', 0], ['Medical Assistant', 0], ['Office Clerk', 0], ['Physical Therapist', 0], ['Professor', 0], ['Scientist', 0], ['Social Worker', 0], ['Student (Graduate)', 0], ['Student (Undergraduate)', 0], ['Registered Nurse', 0], ['Teacher', 0], ['Sales Representative', 0], ['Secretary', 0], ['Security Guard', 0], ['Self-employed', 0], ['Software Developer, Applications', 0], ['Unemployed', 0], ['Waiter / Waitress', 0], ['Other', 0]]",None,None
5,"At various stages in their careers most people experience feelings of satisfaction, dissatisfaction and everything in between with their careers. On a scale of 1 (could not be more dissatisfied) to 10 (I have found my calling and hope to be doing what I’m doing currently for the rest of my career), how would you rate your satisfaction with your career?",select-one,"[['Could not be more dissatisfied', 0], ['1', 1], ['2', 2], ['3', 3], ['4', 4], ['5', 5], ['6', 6], ['7', 7], ['8', 8], ['9', 9], ['10', 10], ['I have found my calling', 11]]",None,None
6,"Have you ever completed any assessments aimed at helping you understand, your abilities, how you interact or work with others, how you solve problems or provided insights on your personality (e.g. Myers-Briggs, DiSC, CliftonStrengths Assessment)?",select-one,"[['Never, or completed or last reviewed the results more than 5 years ago', 0], ['Completed an assessment or reviewed the results within the last 5 years', 2], ['Completed an assessment or reviewed the results within the last 2 years', 4], ['Completed an assessment, routinely review the results and/or routinely use my understanding of the results as lens through which I view my work and professional interactions', 6]]",Discover,Discover Self
7,"How many of the following assessements have you completed? Myers-Briggs, DiSC, Emotional Intelligence Appraisal, Clifton Strengths Assessment, Kirton Adaption-Innovation Inventory (KAI)",select-one,"[['0', 0], ['1', 1], ['2', 2], ['3', 3], ['4', 4], ['5+', 5]]",Discover,Discover Self
8,"People have differing views on the importance of personality assessments in career management. A personality assessment is typically a survey instrument that assesses  human personality constructs. On a scale of 1 (I don’t believe these assessments have any bearing on career success) to 10 (I think they are crucial), how important do you believe these assessments are or could be to your career planning?",select-one,"[['I don\'t believe these assessments have any bearing on career success', 0], ['1', 0], ['2', 0], ['3', 0], ['4', 0], ['5', 0], ['6', 0], ['7', 0], ['8', 0], ['9', 0], ['10', 0], ['I think they are crucial', 0]]",Discover,Discover Self
9,"How often do you take some time to think about the kinds of challenges or problems you like to work on in a professional setting?",select-one,"[['Never', 0], ['Annually', 1], ['Bi-annually', 2], ['Quarterly', 3], ['Monthly', 4]]",Discover,Discover Self
10,"What are the challenges or problems you feel most drawn towards solving? List the 5 you are most passionate about below. Input how many you can think of below.",select-one,"[['0', 0], ['1', 1], ['2', 2], ['3', 3], ['4', 4], ['5+', 5]]",Discover,Discover Self
11,"How many of these challenges or problems do you get to work on in your current profession?",select-one,"[['None', 0], ['One', 1], ['Two', 2], ['Three', 3], ['Four', 4], ['Five', 5]]",Discover,Discover Self
12,"How often do you survey the profiles/resumes/experiences of professionals with career paths of interest to you (for example on LinkedIn)?",select-one,"[['Never', 0], ['Annually', 1], ['Quarterly', 2], ['Monthly', 3], ['Weekly', 4], ['Daily', 5]]",Discover,Discover Opportunities
13,"How often do you review job listings (e.g. on LinkedIn, Indeed, or Glassdoor) to gauge potential career directions?",select-one,"[['Never', 0], ['Annually', 1], ['Quarterly', 2], ['Monthly', 3], ['Weekly', 4], ['Daily', 5]]",Discover,Discover Opportunities
